City,State,Score,Population,Lat,Lng
North Little Rock,AR,51,65911,34.7814,-92.2378
Webster,TX,51,11123,29.5317,-95.1188
Seal Beach,CA,52,24326,33.7542,-118.0714
Tampa,FL,52,2804240.0,27.9937,-82.4454
West Palm Beach,FL,52,110222,26.7467,-80.1314
Forest Park,GA,53,19823,33.6209,-84.3590
Hanahan,SC,53,24885,32.9303,-80.0031
La Porte,TX,53,35371,29.6690,-95.0483
Moss Point,MS,53,13398,30.4240,-88.5289
North Charleston,SC,53,110861,32.9086,-80.0705
Wilton Manors,FL,54,12773,26.1593,-80.1395
Deer Park,TX,55,33891,29.6898,-95.1151
Jacinto City,TX,55,10661,29.7663,-95.2410
Pasadena,TX,55,153520,29.6584,-95.1499
Gretna,LA,56,17935,29.9100,-90.0516
Pensacola,FL,56,344400.0,30.4427,-87.1886
Saint Petersburg,FL,57,263255,27.7930,-82.6652
Dania Beach,FL,59,32030,26.0594,-80.1641
Fort Lauderdale,FL,59,180072,26.1412,-80.1464
Hollywood,FL,59,153627,26.0293,-80.1678
Galena Park,TX,60,10989,29.7452,-95.2333
Jacksonville,FL,61,1156291.0,30.3322,-81.6749
Gulfport,MS,66,221348.0,30.4271,-89.0703
Port Hueneme,CA,67,22327,34.1617,-119.2036
Nashville,TN,70,1076645.0,36.1714,-86.7844
